Model,Mode,Stock,Trial,Status,Lag_Count,Target_Transform,Estimator,Best_Params,Selection_Metric,Selection_Score,Val_MAE,Val_MSE,Val_RMSE,Val_R2,Val_PinballLoss,Val_Bias
gbm_quantile,nonsentiment,BRK-B,1,ok,50,difference,GradientBoostingRegressor,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300, ""random_state"": 42, ""subsample"": 0.9}",PinballLoss,1.0645401596174526,2.1290803192349053,10.216277480372563,3.1962912070668033,0.958394504895453,1.0645401596174526,-0.3535619688301248
gbm_quantile,nonsentiment,BRK-B,2,ok,20,difference,GradientBoostingRegressor,"{""learning_rate"": 0.08, ""max_depth"": 2, ""max_features"": null, ""min_samples_leaf"": 5, ""n_estimators"": 350, ""random_state"": 42, ""subsample"": 1.0}",PinballLoss,1.0461192887970039,2.0922385775940078,9.89724398312239,3.145988554194435,0.9571607057851275,1.0461192887970039,-0.36834461455890816
gbm_quantile,nonsentiment,BRK-B,3,ok,50,difference,GradientBoostingRegressor,"{""learning_rate"": 0.05, ""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 0.8}",PinballLoss,1.0883033511573819,2.1766067023147637,10.390882170750775,3.2234891299259525,0.95768343233456,1.0883033511573819,-0.529718309865745
gbm_quantile,nonsentiment,BRK-B,4,ok,50,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 15, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 1.0}",PinballLoss,1.0423664789389775,2.084732957877955,10.110581462956766,3.179714053646454,0.9588249488750348,1.0423664789389775,-0.20888796198001516
gbm_quantile,nonsentiment,BRK-B,5,ok,40,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 350, ""random_state"": 42, ""subsample"": 0.8}",PinballLoss,1.078460699349538,2.156921398699076,10.253913711091386,3.202173279366903,0.9573817636486529,1.078460699349538,-0.5266157511817409
gbm_quantile,nonsentiment,BRK-B,6,ok,20,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 350, ""random_state"": 42, ""subsample"": 1.0}",PinballLoss,1.0378181792302568,2.0756363584605135,9.830135194012854,3.135304641340751,0.9574511798975136,1.0378181792302568,-0.15490802881573762
gbm_quantile,nonsentiment,BRK-B,7,ok,40,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": null, ""min_samples_leaf"": 15, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 1.0}",PinballLoss,1.0250338482601362,2.0500676965202724,9.903750969341473,3.1470225562174594,0.9588371414594874,1.0250338482601362,-0.11900369199898672
gbm_quantile,nonsentiment,BRK-B,8,ok,50,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 0.8}",PinballLoss,1.0535510405695205,2.107102081139041,10.127014165429737,3.1822969951639863,0.9587580271686101,1.0535510405695205,-0.3376439099804679
gbm_quantile,nonsentiment,BRK-B,9,ok,40,difference,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": null, ""min_samples_leaf"": 15, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 1.0}",PinballLoss,1.0226200333231308,2.0452400666462616,9.866753407468511,3.1411388710893555,0.9589909140463017,1.0226200333231308,-0.10645083832622236
gbm_quantile,nonsentiment,BRK-B,10,ok,40,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.08, ""max_depth"": 2, ""max_features"": null, ""min_samples_leaf"": 5, ""n_estimators"": 350, ""random_state"": 42, ""subsample"": 0.8}",PinballLoss,1.1095611317833873,2.2191222635667747,10.637862071611437,3.261573557596308,0.9557859630171676,1.1095611317833873,-0.5586209929647403
gbm_quantile,nonsentiment,BRK-B,11,ok,50,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 0.8}",PinballLoss,1.0607795281599026,2.1215590563198052,10.168581237444105,3.1888212928046165,0.9585887464678338,1.0607795281599026,-0.39148885735895433
gbm_quantile,nonsentiment,KO,1,ok,50,difference,GradientBoostingRegressor,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300, ""random_state"": 42, ""subsample"": 0.9}",PinballLoss,0.25364393982009087,0.5072878796401817,0.583523901359015,0.7638873616960913,0.9633863033905963,0.25364393982009087,-0.08402600329707785
gbm_quantile,nonsentiment,KO,2,ok,20,difference,GradientBoostingRegressor,"{""learning_rate"": 0.08, ""max_depth"": 2, ""max_features"": null, ""min_samples_leaf"": 5, ""n_estimators"": 350, ""random_state"": 42, ""subsample"": 1.0}",PinballLoss,0.29068913043816924,0.5813782608763385,0.6579141604241783,0.8111190790655699,0.9604378804338353,0.29068913043816924,-0.2838258646336018
gbm_quantile,nonsentiment,KO,3,ok,50,difference,GradientBoostingRegressor,"{""learning_rate"": 0.05, ""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 0.8}",PinballLoss,0.2527455592406598,0.5054911184813196,0.5823594695105805,0.7631248059856136,0.9634593666435695,0.2527455592406598,-0.08767221752757919
gbm_quantile,nonsentiment,KO,4,ok,50,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 15, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 1.0}",PinballLoss,0.24736701581783918,0.49473403163567836,0.5759958111057047,0.7589438787589664,0.9638586597275706,0.24736701581783918,0.009433995752831032
gbm_quantile,nonsentiment,KO,5,ok,40,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 350, ""random_state"": 42, ""subsample"": 0.8}",PinballLoss,0.2633861266403917,0.5267722532807834,0.5991673502179208,0.774059009519249,0.9630002288968402,0.2633861266403917,-0.1500089747688577
