Model,Mode,Stock,Trial,Status,Lag_Count,Target_Transform,Estimator,Best_Params,Selection_Metric,Selection_Score,Val_MAE,Val_MSE,Val_RMSE,Val_R2,Val_PinballLoss,Val_Bias
gbm_quantile,sentiment,BRK-B,1,ok,50,difference,GradientBoostingRegressor,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300, ""random_state"": 42, ""subsample"": 0.9}",PinballLoss,1.0611358938218063,2.1222717876436126,10.191315210213416,3.1923839384092596,0.958496163020039,1.0611358938218063,-0.36636683329344993
gbm_quantile,sentiment,BRK-B,2,ok,20,difference,GradientBoostingRegressor,"{""learning_rate"": 0.08, ""max_depth"": 2, ""max_features"": null, ""min_samples_leaf"": 5, ""n_estimators"": 350, ""random_state"": 42, ""subsample"": 1.0}",PinballLoss,1.0568144126568997,2.1136288253137994,9.964118766707017,3.1565992407505608,0.9568712445437533,1.0568144126568997,-0.35473034439019446
gbm_quantile,sentiment,BRK-B,3,ok,50,difference,GradientBoostingRegressor,"{""learning_rate"": 0.05, ""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 0.8}",PinballLoss,1.058335532951565,2.11667106590313,10.20372601565284,3.1943271616496705,0.9584456203731752,1.058335532951565,-0.3498863185777063
gbm_quantile,sentiment,BRK-B,4,ok,50,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 15, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 1.0}",PinballLoss,1.0381379492883271,2.0762758985766543,10.099368156329499,3.1779503074040503,0.9588706147425567,1.0381379492883271,-0.1621801061144901
gbm_quantile,sentiment,BRK-B,5,ok,40,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 350, ""random_state"": 42, ""subsample"": 0.8}",PinballLoss,1.0438259871797386,2.0876519743594772,10.038598848038234,3.1683747960173894,0.9582766746048113,1.0438259871797386,-0.31111735093195547
gbm_quantile,sentiment,BRK-B,6,ok,20,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 350, ""random_state"": 42, ""subsample"": 1.0}",PinballLoss,1.0472447558998768,2.0944895117997535,9.886519144768506,3.144283566214807,0.9572071272441146,1.0472447558998768,-0.2859263953929424
gbm_quantile,sentiment,BRK-B,7,ok,40,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": null, ""min_samples_leaf"": 15, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 1.0}",PinballLoss,1.029219158311768,2.058438316623536,9.91314266002809,3.148514357602342,0.9587981068718462,1.029219158311768,-0.1334755624968666
gbm_quantile,sentiment,BRK-B,8,ok,50,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 0.8}",PinballLoss,1.0365991431112727,2.0731982862225453,10.059786658340244,3.1717166737179165,0.9590318092504375,1.0365991431112727,-0.16346848996844915
gbm_quantile,sentiment,BRK-B,9,ok,40,difference,GradientBoostingRegressor,"{""learning_rate"": 0.03, ""max_depth"": 2, ""max_features"": null, ""min_samples_leaf"": 15, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 1.0}",PinballLoss,1.0219669715000284,2.0439339430000567,9.85523376948316,3.1393046633742254,0.9590387929994677,1.0219669715000284,-0.07974199538900707
gbm_quantile,sentiment,BRK-B,10,ok,40,log_return,GradientBoostingRegressor,"{""learning_rate"": 0.08, ""max_depth"": 2, ""max_features"": null, ""min_samples_leaf"": 5, ""n_estimators"": 350, ""random_state"": 42, ""subsample"": 0.8}",PinballLoss,1.0763518269749497,2.1527036539498994,10.396326169796394,3.2243334458142496,0.9567898562077017,1.0763518269749497,-0.35444056949949154
